date,state,city,school,longitude,latitude,link,iglink
March 14,Missouri,Maryville,Northwest Missouri State University,-94.8825243,40.3519854,https://actionnetwork.org/events/national-school-walkout-at-northwest?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/456663/northwest-missouri-state-university/
March 14,Missouri,Saint Joseph,Central High School ,-94.8290168,39.7650378,https://actionnetwork.org/events/central-high-school-walkout-because-enough?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/877285960/central-high-school-st-joseph-missouri/
March 14,Missouri,Riverside,Park Hill South High School,-94.626017,39.175437,https://actionnetwork.org/events/enough-national-school-walk-out-3?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/241847791/park-hill-south-high-school/
March 14,Missouri,Peculiar,Raymore–Peculiar High School,-94.4578006,38.7453053,https://actionnetwork.org/events/raypec-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/642221393/raymorepeculiar-high-school/
March 14,Missouri,Lee's Summit,Lee's Summit West High School,-94.399037,38.873227,https://actionnetwork.org/events/lees-summit-west-high-school-enoughempower-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/906307287/lees-summit-west-high-school/
March 14,Missouri,Columbia,Rock Bridge High School,-92.3366548,38.901335,https://actionnetwork.org/events/rbhs-walkout?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Missouri,Vandalia,Van-Far R1 High School,-91.5129828,39.3001804,https://actionnetwork.org/events/van-far-says-enough?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/884748598/van-far-jrsr-high/
March 14,Missouri,Washington,St. Francis Borgia Regional High School,-91.0256016,38.5505709,https://actionnetwork.org/events/sfbrhs-student-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/264801564/st-francis-borgia-regional-high-school/
March 14,Missouri,St. Louis,Lindbergh High School,-90.373739,38.5296717,https://actionnetwork.org/events/lindbergh-high-school-walkout-2?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/283717737/lindbergh-high-school/
March 14,Missouri,Manchester,Parkway South High School,-90.512193,38.5771165,https://actionnetwork.org/events/parkway-south-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/242043141/parkway-south-high-school/
March 14,Missouri,Ballwin,Parkway West High School,-90.5342016,38.6230905,https://actionnetwork.org/events/parkway-west-high-school-walk-out?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1790836/parkway-west-high-school/
March 14,Missouri,Webster Groves,Bristol Elementary School,-90.360035,38.5922259,https://actionnetwork.org/events/bristol-elementary-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/239558272/bristol-elementary-pto/
March 14,Missouri,St. Louis,"Crossroads College Preparatory School
",-90.2839225,38.6518603,https://actionnetwork.org/events/crossroads-college-preparatory-school-walk-out?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/19285947/crossroads-college-preparatory-school/
March 14,Missouri,St. Charles,Francis Howell North High School,-90.5596178,38.7618243,https://actionnetwork.org/events/francis-howell-north-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1172680/francis-howell-north-high-school/
March 14,Missouri,Farmington,Farmington School District,-90.4071619,37.7774848,https://actionnetwork.org/events/national-school-walkout-62?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Illinois,Moline,Moline Sr High School,-90.4844557,41.4875593,https://actionnetwork.org/events/mhs-enough-national-school-walkout-2?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/502071290/moline-sr-high-school/
March 14,Illinois,Sherrard,"Sherrard High School
",-90.5277299,41.3425197,https://actionnetwork.org/events/sherrard-high-school-walkout-for-victims-of-gun-violence?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/229379356/sherrard-high-school/
